model,tone,category,accuracy_%,n
gemini-3,Neutral,biology,100.0,2
gemini-3,Neutral,business,0.0,2
gemini-3,Neutral,chemistry,0.0,2
gemini-3,Neutral,computer science,0.0,2
gemini-3,Neutral,economics,100.0,2
gemini-3,Neutral,engineering,0.0,2
gemini-3,Neutral,health,100.0,2
gemini-3,Neutral,history,0.0,2
gemini-3,Neutral,law,100.0,2
gemini-3,Neutral,math,100.0,2
gemini-3,Polite,biology,100.0,2
gemini-3,Polite,business,0.0,2
gemini-3,Polite,chemistry,0.0,2
gemini-3,Polite,computer science,0.0,2
gemini-3,Polite,economics,100.0,2
gemini-3,Polite,engineering,0.0,2
gemini-3,Polite,health,100.0,2
gemini-3,Polite,history,100.0,2
gemini-3,Polite,law,100.0,2
gemini-3,Polite,math,100.0,2
gemini-3,Rude,biology,100.0,2
gemini-3,Rude,business,0.0,2
gemini-3,Rude,chemistry,0.0,2
gemini-3,Rude,computer science,0.0,2
gemini-3,Rude,economics,100.0,2
gemini-3,Rude,engineering,0.0,2
gemini-3,Rude,health,100.0,2
gemini-3,Rude,history,50.0,2
gemini-3,Rude,law,0.0,2
gemini-3,Rude,math,0.0,2
gemini-3,Very Polite,biology,100.0,2
gemini-3,Very Polite,business,0.0,2
gemini-3,Very Polite,chemistry,0.0,2
gemini-3,Very Polite,computer science,0.0,2
gemini-3,Very Polite,economics,100.0,2
gemini-3,Very Polite,engineering,0.0,2
gemini-3,Very Polite,health,100.0,2
gemini-3,Very Polite,history,100.0,2
gemini-3,Very Polite,law,0.0,2
gemini-3,Very Polite,math,100.0,2
gemini-3,Very Rude,biology,100.0,2
gemini-3,Very Rude,business,0.0,2
gemini-3,Very Rude,chemistry,0.0,2
gemini-3,Very Rude,computer science,0.0,2
gemini-3,Very Rude,economics,100.0,2
gemini-3,Very Rude,engineering,0.0,2
gemini-3,Very Rude,health,100.0,2
gemini-3,Very Rude,history,100.0,2
gemini-3,Very Rude,law,0.0,2
gemini-3,Very Rude,math,0.0,2
gpt-5.2,Neutral,biology,100.0,2
gpt-5.2,Neutral,business,100.0,2
gpt-5.2,Neutral,chemistry,100.0,2
gpt-5.2,Neutral,computer science,0.0,2
gpt-5.2,Neutral,economics,100.0,2
gpt-5.2,Neutral,engineering,0.0,2
gpt-5.2,Neutral,health,100.0,2
gpt-5.2,Neutral,history,100.0,2
gpt-5.2,Neutral,law,0.0,2
gpt-5.2,Neutral,math,100.0,2
gpt-5.2,Polite,biology,100.0,2
gpt-5.2,Polite,business,100.0,2
gpt-5.2,Polite,chemistry,100.0,2
gpt-5.2,Polite,computer science,0.0,2
gpt-5.2,Polite,economics,100.0,2
gpt-5.2,Polite,engineering,0.0,2
gpt-5.2,Polite,health,100.0,2
gpt-5.2,Polite,history,100.0,2
gpt-5.2,Polite,law,0.0,2
gpt-5.2,Polite,math,100.0,2
gpt-5.2,Rude,biology,100.0,2
gpt-5.2,Rude,business,100.0,2
gpt-5.2,Rude,chemistry,100.0,2
gpt-5.2,Rude,computer science,0.0,2
gpt-5.2,Rude,economics,100.0,2
gpt-5.2,Rude,engineering,0.0,2
gpt-5.2,Rude,health,100.0,2
gpt-5.2,Rude,history,100.0,2
gpt-5.2,Rude,law,0.0,2
gpt-5.2,Rude,math,100.0,2
gpt-5.2,Very Polite,biology,100.0,2
gpt-5.2,Very Polite,business,100.0,2
gpt-5.2,Very Polite,chemistry,100.0,2
gpt-5.2,Very Polite,computer science,0.0,2
gpt-5.2,Very Polite,economics,100.0,2
gpt-5.2,Very Polite,engineering,0.0,2
gpt-5.2,Very Polite,health,100.0,2
gpt-5.2,Very Polite,history,100.0,2
gpt-5.2,Very Polite,law,0.0,2
gpt-5.2,Very Polite,math,100.0,2
gpt-5.2,Very Rude,biology,100.0,2
gpt-5.2,Very Rude,business,100.0,2
gpt-5.2,Very Rude,chemistry,100.0,2
gpt-5.2,Very Rude,computer science,0.0,2
gpt-5.2,Very Rude,economics,100.0,2
gpt-5.2,Very Rude,engineering,0.0,2
gpt-5.2,Very Rude,health,100.0,2
gpt-5.2,Very Rude,history,100.0,2
gpt-5.2,Very Rude,law,0.0,2
gpt-5.2,Very Rude,math,100.0,2
sonnet-4.5,Neutral,biology,100.0,2
sonnet-4.5,Neutral,business,0.0,2
sonnet-4.5,Neutral,chemistry,0.0,2
sonnet-4.5,Neutral,computer science,0.0,2
sonnet-4.5,Neutral,economics,100.0,2
sonnet-4.5,Neutral,engineering,0.0,2
sonnet-4.5,Neutral,health,100.0,2
sonnet-4.5,Neutral,history,0.0,2
sonnet-4.5,Neutral,law,0.0,2
sonnet-4.5,Neutral,math,100.0,2
sonnet-4.5,Polite,biology,100.0,2
sonnet-4.5,Polite,business,50.0,2
sonnet-4.5,Polite,chemistry,0.0,2
sonnet-4.5,Polite,computer science,0.0,2
sonnet-4.5,Polite,economics,100.0,2
sonnet-4.5,Polite,engineering,0.0,2
sonnet-4.5,Polite,health,100.0,2
sonnet-4.5,Polite,history,0.0,2
sonnet-4.5,Polite,law,0.0,2
sonnet-4.5,Polite,math,100.0,2
sonnet-4.5,Rude,biology,100.0,2
sonnet-4.5,Rude,business,100.0,2
sonnet-4.5,Rude,chemistry,0.0,2
sonnet-4.5,Rude,computer science,0.0,2
sonnet-4.5,Rude,economics,100.0,2
sonnet-4.5,Rude,engineering,0.0,2
sonnet-4.5,Rude,health,100.0,2
sonnet-4.5,Rude,history,0.0,2
sonnet-4.5,Rude,law,0.0,2
sonnet-4.5,Rude,math,100.0,2
sonnet-4.5,Very Polite,biology,100.0,2
sonnet-4.5,Very Polite,business,0.0,2
sonnet-4.5,Very Polite,chemistry,0.0,2
sonnet-4.5,Very Polite,computer science,0.0,2
sonnet-4.5,Very Polite,economics,100.0,2
sonnet-4.5,Very Polite,engineering,0.0,2
sonnet-4.5,Very Polite,health,100.0,2
sonnet-4.5,Very Polite,history,0.0,2
sonnet-4.5,Very Polite,law,0.0,2
sonnet-4.5,Very Polite,math,100.0,2
sonnet-4.5,Very Rude,biology,100.0,2
sonnet-4.5,Very Rude,business,50.0,2
sonnet-4.5,Very Rude,chemistry,0.0,2
sonnet-4.5,Very Rude,computer science,0.0,2
sonnet-4.5,Very Rude,economics,100.0,2
sonnet-4.5,Very Rude,engineering,0.0,2
sonnet-4.5,Very Rude,health,100.0,2
sonnet-4.5,Very Rude,history,0.0,2
sonnet-4.5,Very Rude,law,0.0,2
sonnet-4.5,Very Rude,math,100.0,2
