qid,category,correct_answer,tone,model,run,num_options,question_idx,response_raw,extracted,extraction_strategy,correct,extraction_failed,timestamp
2926,biology,I,Very Polite,gpt-5.2,0,10,0,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T20:49:35.155866
586,business,F,Very Polite,gpt-5.2,0,10,1,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T20:49:35.155866
4315,chemistry,J,Very Polite,gpt-5.2,0,10,2,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T20:49:35.155866
10532,computer science,B,Very Polite,gpt-5.2,0,10,3,I,I,Strategy 1: Exact single letter,False,False,2026-02-08T20:49:35.155866
7329,economics,B,Very Polite,gpt-5.2,0,10,4,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T20:49:35.155866
11862,engineering,C,Very Polite,gpt-5.2,0,10,5,I,I,Strategy 1: Exact single letter,False,False,2026-02-08T20:49:35.157371
6089,health,B,Very Polite,gpt-5.2,0,10,6,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T20:49:35.157371
4942,history,F,Very Polite,gpt-5.2,0,10,7,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T20:49:35.157371
1200,law,D,Very Polite,gpt-5.2,0,7,8,E,E,Strategy 1: Exact single letter,False,False,2026-02-08T20:49:35.157371
8058,math,I,Very Polite,gpt-5.2,0,10,9,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T20:49:35.157371
2926,biology,I,Polite,gpt-5.2,0,10,0,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:10.386551
586,business,F,Polite,gpt-5.2,0,10,1,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:10.387553
4315,chemistry,J,Polite,gpt-5.2,0,10,2,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:10.387553
10532,computer science,B,Polite,gpt-5.2,0,10,3,I,I,Strategy 1: Exact single letter,False,False,2026-02-08T20:50:10.388706
7329,economics,B,Polite,gpt-5.2,0,10,4,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:10.388706
11862,engineering,C,Polite,gpt-5.2,0,10,5,D,D,Strategy 1: Exact single letter,False,False,2026-02-08T20:50:10.388706
6089,health,B,Polite,gpt-5.2,0,10,6,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:10.389707
4942,history,F,Polite,gpt-5.2,0,10,7,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:10.389707
1200,law,D,Polite,gpt-5.2,0,7,8,E,E,Strategy 1: Exact single letter,False,False,2026-02-08T20:50:10.389707
8058,math,I,Polite,gpt-5.2,0,10,9,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:10.390709
2926,biology,I,Neutral,gpt-5.2,0,10,0,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:41.567749
586,business,F,Neutral,gpt-5.2,0,10,1,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:41.567749
4315,chemistry,J,Neutral,gpt-5.2,0,10,2,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:41.567749
10532,computer science,B,Neutral,gpt-5.2,0,10,3,I,I,Strategy 1: Exact single letter,False,False,2026-02-08T20:50:41.567749
7329,economics,B,Neutral,gpt-5.2,0,10,4,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:41.568826
11862,engineering,C,Neutral,gpt-5.2,0,10,5,D,D,Strategy 1: Exact single letter,False,False,2026-02-08T20:50:41.568826
6089,health,B,Neutral,gpt-5.2,0,10,6,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:41.568826
4942,history,F,Neutral,gpt-5.2,0,10,7,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:41.568826
1200,law,D,Neutral,gpt-5.2,0,7,8,E,E,Strategy 1: Exact single letter,False,False,2026-02-08T20:50:41.568826
8058,math,I,Neutral,gpt-5.2,0,10,9,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T20:50:41.569826
2926,biology,I,Rude,gpt-5.2,0,10,0,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:14.036277
586,business,F,Rude,gpt-5.2,0,10,1,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:14.036277
4315,chemistry,J,Rude,gpt-5.2,0,10,2,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:14.037273
10532,computer science,B,Rude,gpt-5.2,0,10,3,I,I,Strategy 1: Exact single letter,False,False,2026-02-08T20:51:14.037273
7329,economics,B,Rude,gpt-5.2,0,10,4,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:14.037784
11862,engineering,C,Rude,gpt-5.2,0,10,5,D,D,Strategy 1: Exact single letter,False,False,2026-02-08T20:51:14.037784
6089,health,B,Rude,gpt-5.2,0,10,6,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:14.038789
4942,history,F,Rude,gpt-5.2,0,10,7,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:14.038789
1200,law,D,Rude,gpt-5.2,0,7,8,E,E,Strategy 1: Exact single letter,False,False,2026-02-08T20:51:14.038789
8058,math,I,Rude,gpt-5.2,0,10,9,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:14.038789
2926,biology,I,Very Rude,gpt-5.2,0,10,0,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:42.377425
586,business,F,Very Rude,gpt-5.2,0,10,1,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:42.377425
4315,chemistry,J,Very Rude,gpt-5.2,0,10,2,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:42.378437
10532,computer science,B,Very Rude,gpt-5.2,0,10,3,I,I,Strategy 1: Exact single letter,False,False,2026-02-08T20:51:42.378437
7329,economics,B,Very Rude,gpt-5.2,0,10,4,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T20:51:42.378437
11862,engineering,C,Very Rude,gpt-5.2,0,10,5,I,I,Strategy 1: Exact single letter,False,False,2026-02-08T20:51:42.379447
