qid,category,correct,tone,model,run,num_options,response_raw,extracted,extraction_failed,timestamp
2926,biology,False,Very Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:31.137571
586,business,False,Very Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:31.137571
4315,chemistry,False,Very Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:31.137571
10532,computer science,False,Very Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:31.137571
7329,economics,False,Very Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:31.137571
11862,engineering,False,Very Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:31.137571
6089,health,False,Very Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:31.137571
4942,history,False,Very Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:31.137571
1200,law,False,Very Polite,gpt-5.2,0,7,,,True,2026-02-08T14:34:31.137571
8058,math,False,Very Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:31.137571
2926,biology,False,Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:34.851591
586,business,False,Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:34.851591
4315,chemistry,False,Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:34.851591
10532,computer science,False,Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:34.851591
7329,economics,False,Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:34.851591
11862,engineering,False,Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:34.851591
6089,health,False,Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:34.851591
4942,history,False,Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:34.851591
1200,law,False,Polite,gpt-5.2,0,7,,,True,2026-02-08T14:34:34.851591
8058,math,False,Polite,gpt-5.2,0,10,,,True,2026-02-08T14:34:34.851591
2926,biology,False,Neutral,gpt-5.2,0,10,,,True,2026-02-08T14:34:38.837961
586,business,False,Neutral,gpt-5.2,0,10,,,True,2026-02-08T14:34:38.837961
4315,chemistry,False,Neutral,gpt-5.2,0,10,,,True,2026-02-08T14:34:38.837961
10532,computer science,False,Neutral,gpt-5.2,0,10,,,True,2026-02-08T14:34:38.837961
7329,economics,False,Neutral,gpt-5.2,0,10,,,True,2026-02-08T14:34:38.837961
11862,engineering,False,Neutral,gpt-5.2,0,10,,,True,2026-02-08T14:34:38.837961
6089,health,False,Neutral,gpt-5.2,0,10,,,True,2026-02-08T14:34:38.837961
4942,history,False,Neutral,gpt-5.2,0,10,,,True,2026-02-08T14:34:38.837961
1200,law,False,Neutral,gpt-5.2,0,7,,,True,2026-02-08T14:34:38.837961
8058,math,False,Neutral,gpt-5.2,0,10,,,True,2026-02-08T14:34:38.837961
2926,biology,False,Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:42.710030
586,business,False,Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:42.710030
4315,chemistry,False,Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:42.710030
10532,computer science,False,Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:42.710030
7329,economics,False,Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:42.710030
11862,engineering,False,Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:42.710030
6089,health,False,Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:42.710030
4942,history,False,Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:42.710030
1200,law,False,Rude,gpt-5.2,0,7,,,True,2026-02-08T14:34:42.710030
8058,math,False,Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:42.710030
2926,biology,False,Very Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:46.551338
586,business,False,Very Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:46.551338
4315,chemistry,False,Very Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:46.551338
10532,computer science,False,Very Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:46.551338
7329,economics,False,Very Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:46.551338
11862,engineering,False,Very Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:46.551338
6089,health,False,Very Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:46.551338
4942,history,False,Very Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:46.551338
1200,law,False,Very Rude,gpt-5.2,0,7,,,True,2026-02-08T14:34:46.551338
8058,math,False,Very Rude,gpt-5.2,0,10,,,True,2026-02-08T14:34:46.551338
2926,biology,True,Very Polite,sonnet-4.5,0,10,I,I,False,2026-02-08T14:34:49.944370
586,business,False,Very Polite,sonnet-4.5,0,10,"I need to calculate how the $28,600 net income is divided.

Step 1",I,False,2026-02-08T14:34:49.944370
4315,chemistry,False,Very Polite,sonnet-4.5,0,10,I need to find the molecular weight of the solute using Raoult's Law.,I,False,2026-02-08T14:34:49.944370
10532,computer science,False,Very Polite,sonnet-4.5,0,10,I,I,False,2026-02-08T14:34:49.944370
7329,economics,True,Very Polite,sonnet-4.5,0,10,B,B,False,2026-02-08T14:34:49.944370
11862,engineering,False,Very Polite,sonnet-4.5,0,10,"To solve this problem, I need to find the diameter that can withstand both steady and fluctu",I,False,2026-02-08T14:34:49.944370
6089,health,True,Very Polite,sonnet-4.5,0,10,B,B,False,2026-02-08T14:34:49.944370
4942,history,True,Very Polite,sonnet-4.5,0,10,F,F,False,2026-02-08T14:34:49.944370
1200,law,False,Very Polite,sonnet-4.5,0,7,E,E,False,2026-02-08T14:34:49.944370
8058,math,True,Very Polite,sonnet-4.5,0,10,"I need to find the determinant of the matrix [[0, 1, 2], [",I,False,2026-02-08T14:34:49.944370
2926,biology,True,Polite,sonnet-4.5,0,10,I,I,False,2026-02-08T14:34:52.896944
586,business,False,Polite,sonnet-4.5,0,10,"I need to calculate how the $28,600 net income is divided.

Step 1",I,False,2026-02-08T14:34:52.897958
4315,chemistry,False,Polite,sonnet-4.5,0,10,I need to find the molecular weight of the solute using Raoult's Law.,I,False,2026-02-08T14:34:52.897958
10532,computer science,False,Polite,sonnet-4.5,0,10,I,I,False,2026-02-08T14:34:52.897958
7329,economics,True,Polite,sonnet-4.5,0,10,B,B,False,2026-02-08T14:34:52.897958
11862,engineering,False,Polite,sonnet-4.5,0,10,"To solve this problem, I need to find the diameter of a steel rod under combined steady and fluct",I,False,2026-02-08T14:34:52.897958
6089,health,True,Polite,sonnet-4.5,0,10,B,B,False,2026-02-08T14:34:52.897958
4942,history,False,Polite,sonnet-4.5,0,10,D,D,False,2026-02-08T14:34:52.897958
1200,law,False,Polite,sonnet-4.5,0,7,E,E,False,2026-02-08T14:34:52.897958
8058,math,True,Polite,sonnet-4.5,0,10,"I need to find the determinant of the matrix [[0, 1, 2], [",I,False,2026-02-08T14:34:52.897958
2926,biology,True,Neutral,sonnet-4.5,0,10,I,I,False,2026-02-08T14:34:56.045172
586,business,False,Neutral,sonnet-4.5,0,10,"I need to calculate how the $28,600 net income is divided.

Step 1",I,False,2026-02-08T14:34:56.046151
4315,chemistry,False,Neutral,sonnet-4.5,0,10,I need to find the molecular weight of the solute using Raoult's Law.,I,False,2026-02-08T14:34:56.046151
10532,computer science,False,Neutral,sonnet-4.5,0,10,I,I,False,2026-02-08T14:34:56.046151
7329,economics,True,Neutral,sonnet-4.5,0,10,B,B,False,2026-02-08T14:34:56.046151
11862,engineering,False,Neutral,sonnet-4.5,0,10,"To solve this problem, I need to find the diameter of a steel rod under combined steady and fluct",I,False,2026-02-08T14:34:56.046151
6089,health,True,Neutral,sonnet-4.5,0,10,B,B,False,2026-02-08T14:34:56.046151
4942,history,True,Neutral,sonnet-4.5,0,10,F,F,False,2026-02-08T14:34:56.046151
1200,law,False,Neutral,sonnet-4.5,0,7,E,E,False,2026-02-08T14:34:56.046151
8058,math,False,Neutral,sonnet-4.5,0,10,"To find the determinant of the 3×3 matrix [[0, 1,",,True,2026-02-08T14:34:56.046151
2926,biology,True,Rude,sonnet-4.5,0,10,I,I,False,2026-02-08T14:34:59.091920
586,business,False,Rude,sonnet-4.5,0,10,"I need to calculate how the $28,600 net income is divided.

Step 1",I,False,2026-02-08T14:34:59.091920
4315,chemistry,False,Rude,sonnet-4.5,0,10,I need to find the molecular weight of the solute using Raoult's Law.,I,False,2026-02-08T14:34:59.091920
10532,computer science,False,Rude,sonnet-4.5,0,10,I,I,False,2026-02-08T14:34:59.091920
7329,economics,True,Rude,sonnet-4.5,0,10,B,B,False,2026-02-08T14:34:59.091920
11862,engineering,False,Rude,sonnet-4.5,0,10,"To solve this problem, I need to find the diameter that can withstand both steady and fluctu",I,False,2026-02-08T14:34:59.091920
6089,health,True,Rude,sonnet-4.5,0,10,B,B,False,2026-02-08T14:34:59.091920
4942,history,True,Rude,sonnet-4.5,0,10,F,F,False,2026-02-08T14:34:59.091920
1200,law,False,Rude,sonnet-4.5,0,7,E,E,False,2026-02-08T14:34:59.091920
8058,math,True,Rude,sonnet-4.5,0,10,"I need to find the determinant of the 3×3 matrix [[0, 1",I,False,2026-02-08T14:34:59.091920
2926,biology,True,Very Rude,sonnet-4.5,0,10,I,I,False,2026-02-08T14:35:02.123319
586,business,False,Very Rude,sonnet-4.5,0,10,"I need to calculate how the $28,600 net income is divided.

Step 1",I,False,2026-02-08T14:35:02.123319
4315,chemistry,False,Very Rude,sonnet-4.5,0,10,I need to find the molecular weight of the solute using Raoult's Law.,I,False,2026-02-08T14:35:02.123319
10532,computer science,False,Very Rude,sonnet-4.5,0,10,I,I,False,2026-02-08T14:35:02.123319
7329,economics,True,Very Rude,sonnet-4.5,0,10,B,B,False,2026-02-08T14:35:02.123319
