qid,category,correct_answer,tone,model,run,num_options,question_idx,response_raw,extracted,extraction_strategy,correct,extraction_failed,timestamp
2926,biology,I,Very Polite,gpt-5.2,0,10,0,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.619479
3139,biology,I,Very Polite,gpt-5.2,0,10,1,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.620468
2845,biology,B,Very Polite,gpt-5.2,0,10,2,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.620468
3445,biology,F,Very Polite,gpt-5.2,0,10,3,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.620468
3323,biology,A,Very Polite,gpt-5.2,0,8,4,A,A,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.620468
3341,biology,G,Very Polite,gpt-5.2,0,10,5,F,F,Strategy 1: Exact single letter,False,False,2026-02-08T22:50:13.620468
2871,biology,J,Very Polite,gpt-5.2,0,10,6,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.621467
3309,biology,D,Very Polite,gpt-5.2,0,10,7,D,D,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.621467
586,business,F,Very Polite,gpt-5.2,0,10,8,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.621467
109,business,J,Very Polite,gpt-5.2,0,10,9,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.621467
283,business,F,Very Polite,gpt-5.2,0,10,10,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.621467
271,business,C,Very Polite,gpt-5.2,0,10,11,C,C,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.622466
307,business,I,Very Polite,gpt-5.2,0,10,12,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.622466
287,business,G,Very Polite,gpt-5.2,0,10,13,G,G,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.622466
644,business,F,Very Polite,gpt-5.2,0,10,14,F,F,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.622466
425,business,I,Very Polite,gpt-5.2,0,10,15,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.622466
4315,chemistry,J,Very Polite,gpt-5.2,0,10,16,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.622466
4433,chemistry,G,Very Polite,gpt-5.2,0,10,17,G,G,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.623467
3941,chemistry,B,Very Polite,gpt-5.2,0,10,18,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.623467
3996,chemistry,H,Very Polite,gpt-5.2,0,10,19,H,H,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.623467
4277,chemistry,A,Very Polite,gpt-5.2,0,10,20,A,A,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.624477
3635,chemistry,C,Very Polite,gpt-5.2,0,4,21,C,C,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.624477
4052,chemistry,E,Very Polite,gpt-5.2,0,10,22,G,G,Strategy 1: Exact single letter,False,False,2026-02-08T22:50:13.625467
10532,computer science,B,Very Polite,gpt-5.2,0,10,23,I,I,Strategy 1: Exact single letter,False,False,2026-02-08T22:50:13.625467
10496,computer science,G,Very Polite,gpt-5.2,0,10,24,H,H,Strategy 1: Exact single letter,False,False,2026-02-08T22:50:13.625467
10485,computer science,I,Very Polite,gpt-5.2,0,10,25,I,I,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.626468
10453,computer science,G,Very Polite,gpt-5.2,0,10,26,G,G,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.626468
10431,computer science,I,Very Polite,gpt-5.2,0,10,27,G,G,Strategy 1: Exact single letter,False,False,2026-02-08T22:50:13.627470
10391,computer science,J,Very Polite,gpt-5.2,0,10,28,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.627470
10744,computer science,D,Very Polite,gpt-5.2,0,10,29,D,D,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.627470
7329,economics,B,Very Polite,gpt-5.2,0,10,30,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.627470
7044,economics,C,Very Polite,gpt-5.2,0,10,31,C,C,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.627470
7462,economics,E,Very Polite,gpt-5.2,0,10,32,E,E,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.628468
7580,economics,J,Very Polite,gpt-5.2,0,10,33,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.628468
6890,economics,D,Very Polite,gpt-5.2,0,9,34,D,D,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.628468
7077,economics,J,Very Polite,gpt-5.2,0,10,35,J,J,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.628468
7640,economics,G,Very Polite,gpt-5.2,0,10,36,G,G,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.629467
11862,engineering,C,Very Polite,gpt-5.2,0,10,37,D,D,Strategy 1: Exact single letter,False,False,2026-02-08T22:50:13.629467
11546,engineering,A,Very Polite,gpt-5.2,0,10,38,J,J,Strategy 1: Exact single letter,False,False,2026-02-08T22:50:13.629467
11675,engineering,B,Very Polite,gpt-5.2,0,10,39,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.629467
11782,engineering,B,Very Polite,gpt-5.2,0,10,40,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.629467
11355,engineering,A,Very Polite,gpt-5.2,0,10,41,A,A,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.629467
12193,engineering,C,Very Polite,gpt-5.2,0,4,42,C,C,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.630471
12072,engineering,G,Very Polite,gpt-5.2,0,10,43,G,G,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.630471
6089,health,B,Very Polite,gpt-5.2,0,10,44,B,B,Strategy 1: Exact single letter,True,False,2026-02-08T22:50:13.630471
