model,tone,category,accuracy_%,n
gemini-3,Neutral,biology,87.5,40
gemini-3,Neutral,business,45.0,40
gemini-3,Neutral,chemistry,68.57,35
gemini-3,Neutral,computer science,71.43,35
gemini-3,Neutral,economics,100.0,35
gemini-3,Neutral,engineering,57.14,35
gemini-3,Neutral,health,71.43,35
gemini-3,Neutral,history,85.71,35
gemini-3,Neutral,law,88.57,35
gemini-3,Neutral,math,62.86,35
gemini-3,Neutral,other,100.0,35
gemini-3,Neutral,philosophy,71.43,35
gemini-3,Neutral,physics,77.14,35
gemini-3,Neutral,psychology,85.71,35
gemini-3,Polite,biology,87.5,40
gemini-3,Polite,business,42.5,40
gemini-3,Polite,chemistry,57.14,35
gemini-3,Polite,computer science,85.71,35
gemini-3,Polite,economics,100.0,35
gemini-3,Polite,engineering,54.29,35
gemini-3,Polite,health,71.43,35
gemini-3,Polite,history,100.0,35
gemini-3,Polite,law,88.57,35
gemini-3,Polite,math,68.57,35
gemini-3,Polite,other,100.0,35
gemini-3,Polite,philosophy,71.43,35
gemini-3,Polite,physics,65.71,35
gemini-3,Polite,psychology,77.14,35
gemini-3,Rude,biology,87.5,40
gemini-3,Rude,business,37.5,40
gemini-3,Rude,chemistry,62.86,35
gemini-3,Rude,computer science,77.14,35
gemini-3,Rude,economics,100.0,35
gemini-3,Rude,engineering,54.29,35
gemini-3,Rude,health,71.43,35
gemini-3,Rude,history,100.0,35
gemini-3,Rude,law,77.14,35
gemini-3,Rude,math,62.86,35
gemini-3,Rude,other,97.14,35
gemini-3,Rude,philosophy,74.29,35
gemini-3,Rude,physics,65.71,35
gemini-3,Rude,psychology,85.71,35
gemini-3,Very Polite,biology,90.0,40
gemini-3,Very Polite,business,37.5,40
gemini-3,Very Polite,chemistry,65.71,35
gemini-3,Very Polite,computer science,80.0,35
gemini-3,Very Polite,economics,100.0,35
gemini-3,Very Polite,engineering,51.43,35
gemini-3,Very Polite,health,71.43,35
gemini-3,Very Polite,history,97.14,35
gemini-3,Very Polite,law,74.29,35
gemini-3,Very Polite,math,65.71,35
gemini-3,Very Polite,other,91.43,35
